id,customer_id,amount,issue_date,due_date,status,paid_amount
INV-00065,CUST-0121,5146.6,2026-01-03,2026-02-02,open,0.0
INV-00066,CUST-0017,33834.94,2025-02-24,2025-04-10,paid,33834.94
INV-00067,CUST-0036,7596.96,2025-12-23,2026-01-22,open,0.0
INV-00068,CUST-0138,3414.84,2025-11-07,2025-12-07,overdue,0.0
INV-00069,CUST-0108,30979.42,2025-03-21,2025-05-05,paid,30979.42
INV-00070,CUST-0072,89028.07,2025-12-30,2026-02-28,open,0.0
INV-00071,CUST-0061,3220.15,2024-11-04,2024-12-04,paid,3220.15
INV-00072,CUST-0071,116820.69,2025-10-10,2025-12-09,overdue,0.0
INV-00073,CUST-0006,6400.96,2025-12-21,2026-01-20,open,0.0
INV-00074,CUST-0142,25523.41,2025-10-01,2025-11-15,paid,25523.41
INV-00075,CUST-0001,6938.05,2025-08-27,2025-09-26,paid,6938.05
INV-00076,CUST-0007,5520.11,2025-11-09,2025-12-24,paid,5520.11
INV-00077,CUST-0045,892.99,2025-09-02,2025-10-02,paid,892.99
INV-00078,CUST-0132,30905.4,2025-03-18,2025-05-17,paid,30905.4
INV-00079,CUST-0134,21031.49,2025-08-14,2025-09-28,paid,21031.49
INV-00080,CUST-0126,7322.76,2025-01-16,2025-02-15,paid,7322.76
INV-00081,CUST-0017,14625.56,2025-11-12,2025-12-27,overdue,0.0
INV-00082,CUST-0130,20056.98,2025-03-12,2025-04-26,paid,20056.98
INV-00083,CUST-0142,35292.23,2025-01-11,2025-02-25,paid,35292.23
INV-00084,CUST-0025,3700.73,2025-08-08,2025-09-07,paid,3700.73
INV-00085,CUST-0122,1184.19,2025-12-12,2026-01-11,overdue,0.0
INV-00086,CUST-0143,4898.49,2025-12-16,2026-01-15,open,0.0
INV-00087,CUST-0032,3151.99,2025-06-19,2025-07-19,paid,3151.99
INV-00088,CUST-0080,8626.02,2025-07-19,2025-09-02,paid,8626.02
INV-00089,CUST-0028,6840.3,2025-07-20,2025-08-19,paid,6840.3
INV-00090,CUST-0143,5067.46,2026-01-02,2026-02-01,open,0.0
INV-00091,CUST-0069,1853.12,2026-01-01,2026-01-31,open,0.0
INV-00092,CUST-0047,10013.8,2024-10-27,2024-12-11,paid,10013.8
INV-00093,CUST-0008,31113.91,2025-11-30,2026-01-14,overdue,0.0
INV-00094,CUST-0084,7560.56,2024-12-14,2025-01-13,paid,7560.56
INV-00095,CUST-0021,3823.35,2025-08-29,2025-09-28,paid,3823.35
INV-00096,CUST-0089,1331.67,2025-06-09,2025-07-09,paid,1331.67
INV-00097,CUST-0079,12718.15,2025-12-23,2026-02-06,open,0.0
INV-00098,CUST-0036,2416.4,2024-12-20,2025-01-19,paid,2416.4
INV-00099,CUST-0045,3351.56,2025-11-10,2025-12-10,paid,3351.56
INV-00100,CUST-0011,640.56,2025-06-06,2025-07-06,paid,640.56
INV-00101,CUST-0107,9031.07,2025-08-20,2025-10-04,paid,9031.07
INV-00102,CUST-0093,3775.34,2025-12-01,2025-12-31,paid,3775.34
INV-00103,CUST-0021,7028.93,2025-06-27,2025-07-27,paid,7028.93
INV-00104,CUST-0136,1954.28,2025-04-29,2025-05-29,paid,1954.28
INV-00105,CUST-0038,8598.16,2025-09-17,2025-11-01,paid,8598.16
INV-00106,CUST-0127,6158.34,2025-05-23,2025-06-22,paid,6158.34
INV-00107,CUST-0145,5264.74,2025-02-20,2025-03-22,paid,5264.74
INV-00108,CUST-0114,2771.15,2025-02-26,2025-03-28,paid,2771.15
INV-00109,CUST-0080,20816.99,2025-05-24,2025-07-08,paid,20816.99
INV-00110,CUST-0099,4852.47,2025-05-24,2025-06-23,paid,4852.47
INV-00111,CUST-0147,38823.95,2025-02-16,2025-04-17,paid,38823.95
INV-00112,CUST-0088,1132.47,2025-01-15,2025-02-14,paid,1132.47
INV-00113,CUST-0113,4420.61,2025-04-22,2025-05-22,paid,4420.61
INV-00114,CUST-0014,5231.65,2024-12-07,2025-01-06,paid,5231.65
INV-00115,CUST-0099,2389.97,2025-08-23,2025-09-22,paid,2389.97
INV-00116,CUST-0037,15858.11,2025-07-20,2025-09-03,paid,15858.11
INV-00117,CUST-0022,24562.27,2025-08-10,2025-09-24,paid,24562.27
INV-00118,CUST-0135,5345.19,2025-11-29,2025-12-29,partial,1894.51
INV-00119,CUST-0088,4147.03,2024-12-19,2025-01-18,overdue,0.0
INV-00120,CUST-0135,5464.47,2025-12-27,2026-01-26,open,0.0
INV-00121,CUST-0034,18185.2,2025-03-16,2025-04-30,partial,6949.47
INV-00122,CUST-0114,2636.96,2025-03-09,2025-04-08,paid,2636.96
INV-00123,CUST-0080,32452.96,2024-11-27,2025-01-11,paid,32452.96
INV-00124,CUST-0098,4455.95,2025-05-03,2025-06-02,paid,4455.95
INV-00125,CUST-0036,2375.02,2024-10-26,2024-11-25,paid,2375.02
INV-00126,CUST-0032,1129.06,2025-08-23,2025-09-22,paid,1129.06
INV-00127,CUST-0112,7598.1,2025-11-30,2025-12-30,overdue,0.0
INV-00128,CUST-0102,18088.65,2025-05-03,2025-06-17,paid,18088.65
INV-00129,CUST-0082,103917.63,2025-11-26,2026-01-25,open,0.0
INV-00130,CUST-0121,6733.33,2025-01-24,2025-02-23,paid,6733.33
INV-00131,CUST-0021,2419.43,2026-01-06,2026-02-05,open,0.0
INV-00132,CUST-0109,6321.29,2025-11-20,2025-12-20,paid,6321.29
INV-00133,CUST-0118,1331.43,2025-12-14,2026-01-13,disputed,0.0
INV-00134,CUST-0132,44193.81,2025-03-27,2025-05-26,paid,44193.81
INV-00135,CUST-0062,61656.76,2025-03-29,2025-05-28,paid,61656.76
INV-00136,CUST-0130,39591.6,2024-12-09,2025-01-23,paid,39591.6
INV-00137,CUST-0100,2402.38,2025-07-08,2025-08-07,paid,2402.38
INV-00138,CUST-0149,6175.09,2025-01-04,2025-02-03,paid,6175.09
INV-00139,CUST-0045,6343.57,2024-11-16,2024-12-16,paid,6343.57
INV-00140,CUST-0118,2700.82,2025-12-28,2026-01-27,open,0.0
INV-00141,CUST-0011,7500.28,2025-08-07,2025-09-06,paid,7500.28
INV-00142,CUST-0049,17494.1,2025-08-22,2025-10-06,paid,17494.1
INV-00143,CUST-0032,3260.14,2024-12-02,2025-01-01,paid,3260.14
INV-00144,CUST-0128,4231.43,2025-01-26,2025-02-25,paid,4231.43
INV-00145,CUST-0109,3729.55,2025-12-06,2026-01-05,partial,1978.38
INV-00146,CUST-0110,5673.24,2025-10-22,2025-11-21,paid,5673.24
INV-00147,CUST-0091,7986.13,2025-03-07,2025-04-06,paid,7986.13
INV-00148,CUST-0094,33038.36,2025-04-28,2025-06-12,overdue,0.0
INV-00149,CUST-0113,1446.73,2025-12-29,2026-01-28,open,0.0
INV-00150,CUST-0009,1650.79,2025-03-12,2025-04-11,paid,1650.79
INV-00151,CUST-0020,1532.71,2025-03-28,2025-04-27,paid,1532.71
INV-00152,CUST-0100,1383.21,2025-04-03,2025-05-03,paid,1383.21
INV-00153,CUST-0074,37076.76,2025-01-25,2025-03-11,paid,37076.76
INV-00154,CUST-0114,6578.85,2025-12-02,2026-01-01,overdue,0.0
INV-00155,CUST-0017,23976.0,2025-04-09,2025-05-24,paid,23976.0
INV-00156,CUST-0058,7888.49,2025-11-14,2025-12-14,paid,7888.49
INV-00157,CUST-0093,4792.08,2025-04-07,2025-05-07,paid,4792.08
INV-00158,CUST-0102,30160.44,2025-01-13,2025-02-27,paid,30160.44
INV-00159,CUST-0019,117237.97,2025-11-12,2026-01-11,paid,117237.97
INV-00160,CUST-0142,25572.51,2025-02-22,2025-04-08,paid,25572.51
INV-00161,CUST-0015,1431.21,2024-11-16,2024-12-16,paid,1431.21
INV-00162,CUST-0133,6844.5,2025-08-23,2025-09-22,paid,6844.5
INV-00163,CUST-0033,2771.18,2025-03-01,2025-03-31,paid,2771.18
INV-00164,CUST-0087,37337.54,2024-11-10,2024-12-25,paid,37337.54
INV-00165,CUST-0148,85113.0,2025-09-02,2025-11-01,paid,85113.0
INV-00166,CUST-0075,7674.88,2025-02-21,2025-03-23,paid,7674.88
INV-00167,CUST-0016,3797.04,2025-10-27,2025-11-26,paid,3797.04
INV-00168,CUST-0089,1480.75,2025-06-25,2025-07-25,paid,1480.75
INV-00169,CUST-0120,2506.04,2025-11-14,2025-12-14,paid,2506.04
INV-00170,CUST-0064,7267.33,2024-10-29,2024-11-28,paid,7267.33
INV-00171,CUST-0128,4001.11,2025-04-27,2025-05-27,paid,4001.11
INV-00172,CUST-0062,78334.41,2025-09-27,2025-11-26,paid,78334.41
INV-00173,CUST-0121,4525.18,2025-08-22,2025-09-21,paid,4525.18
INV-00174,CUST-0094,19020.36,2025-12-23,2026-02-06,open,0.0
INV-00175,CUST-0093,2664.51,2025-04-07,2025-05-07,paid,2664.51
INV-00176,CUST-0031,7813.12,2025-11-11,2025-12-11,overdue,0.0
INV-00177,CUST-0094,10049.36,2024-12-25,2025-02-08,paid,10049.36
INV-00178,CUST-0122,3927.41,2025-04-25,2025-05-25,paid,3927.41
INV-00179,CUST-0082,59295.46,2025-10-24,2025-12-23,overdue,0.0
INV-00180,CUST-0137,29805.89,2025-05-10,2025-06-24,paid,29805.89
INV-00181,CUST-0029,4877.77,2025-06-16,2025-07-16,paid,4877.77
INV-00182,CUST-0149,2206.57,2025-03-26,2025-04-25,paid,2206.57
INV-00183,CUST-0098,6662.46,2025-11-01,2025-12-01,paid,6662.46
INV-00184,CUST-0108,19453.6,2025-10-30,2025-12-14,paid,19453.6
INV-00185,CUST-0121,6862.83,2024-10-26,2024-11-25,paid,6862.83
INV-00186,CUST-0123,3326.19,2025-04-21,2025-05-21,paid,3326.19
INV-00187,CUST-0140,28655.4,2025-07-18,2025-09-01,paid,28655.4
INV-00188,CUST-0064,4685.65,2025-08-26,2025-09-25,paid,4685.65
INV-00189,CUST-0126,4098.53,2025-08-06,2025-09-05,paid,4098.53
INV-00190,CUST-0140,36351.62,2025-07-05,2025-08-19,paid,36351.62
INV-00191,CUST-0038,6472.33,2025-08-20,2025-10-04,paid,6472.33
INV-00192,CUST-0055,6709.64,2025-10-04,2025-11-03,paid,6709.64
INV-00193,CUST-0028,6056.68,2025-03-06,2025-04-05,paid,6056.68
INV-00194,CUST-0026,2977.2,2025-06-18,2025-07-18,paid,2977.2
INV-00195,CUST-0141,19241.76,2025-10-27,2025-12-11,paid,19241.76
INV-00196,CUST-0083,5344.23,2025-08-22,2025-09-21,paid,5344.23
INV-00197,CUST-0137,30309.12,2025-01-02,2025-02-16,paid,30309.12
INV-00198,CUST-0010,3477.46,2024-11-13,2024-12-13,overdue,0.0
INV-00199,CUST-0003,24878.67,2025-08-16,2025-09-30,overdue,0.0
INV-00200,CUST-0035,4281.6,2024-11-06,2024-12-06,paid,4281.6
INV-00201,CUST-0118,2429.49,2025-02-18,2025-03-20,paid,2429.49
INV-00202,CUST-0045,6921.1,2025-03-09,2025-04-08,paid,6921.1
INV-00203,CUST-0023,5519.42,2025-06-24,2025-07-24,paid,5519.42
INV-00204,CUST-0061,6153.17,2025-06-01,2025-07-01,paid,6153.17
INV-00205,CUST-0003,27878.92,2025-09-04,2025-10-19,paid,27878.92
INV-00206,CUST-0129,31944.44,2025-01-20,2025-03-06,paid,31944.44
INV-00207,CUST-0095,2156.37,2025-03-07,2025-04-06,paid,2156.37
INV-00208,CUST-0121,4531.38,2024-12-24,2025-01-23,paid,4531.38
INV-00209,CUST-0021,3850.61,2025-04-21,2025-05-21,paid,3850.61
INV-00210,CUST-0130,25044.56,2025-10-04,2025-11-18,paid,25044.56
INV-00211,CUST-0030,40540.15,2025-02-01,2025-04-02,paid,40540.15
INV-00212,CUST-0132,65679.85,2025-06-17,2025-08-16,paid,65679.85
INV-00213,CUST-0006,2408.43,2025-06-27,2025-07-27,paid,2408.43
INV-00214,CUST-0139,7509.37,2025-12-16,2026-01-15,open,0.0
INV-00215,CUST-0121,2653.18,2025-12-30,2026-01-29,open,0.0
INV-00216,CUST-0108,39749.98,2025-07-08,2025-08-22,overdue,0.0
INV-00217,CUST-0021,7731.08,2025-01-31,2025-03-02,paid,7731.08
INV-00218,CUST-0101,1455.1,2025-04-20,2025-05-20,paid,1455.1
INV-00219,CUST-0140,23617.68,2025-06-12,2025-07-27,paid,23617.68
INV-00220,CUST-0029,6571.09,2025-12-30,2026-01-29,open,0.0
INV-00221,CUST-0005,2045.61,2025-09-14,2025-10-14,paid,2045.61
INV-00222,CUST-0012,63896.28,2025-06-24,2025-08-23,partial,28877.79
INV-00223,CUST-0148,77747.48,2025-08-05,2025-10-04,overdue,0.0
INV-00224,CUST-0106,47515.39,2025-08-15,2025-10-14,overdue,0.0
INV-00225,CUST-0110,4217.16,2025-04-06,2025-05-06,paid,4217.16
INV-00226,CUST-0107,10222.62,2025-06-20,2025-08-04,paid,10222.62
INV-00227,CUST-0058,6931.56,2025-08-15,2025-09-14,paid,6931.56
INV-00228,CUST-0136,3413.14,2025-11-08,2025-12-08,paid,3413.14
INV-00229,CUST-0116,57107.75,2024-11-08,2025-01-07,paid,57107.75
INV-00230,CUST-0011,1045.88,2024-10-25,2024-11-24,overdue,0.0
INV-00231,CUST-0086,115701.98,2025-08-13,2025-10-12,paid,115701.98
INV-00232,CUST-0123,5717.2,2025-09-13,2025-10-13,paid,5717.2
INV-00233,CUST-0083,2622.94,2024-12-14,2025-01-13,paid,2622.94
INV-00234,CUST-0120,6521.12,2025-11-26,2025-12-26,overdue,0.0
INV-00235,CUST-0095,3604.48,2025-08-08,2025-09-07,paid,3604.48
INV-00236,CUST-0149,3631.84,2025-01-12,2025-02-11,paid,3631.84
INV-00237,CUST-0063,75064.25,2025-05-05,2025-07-04,paid,75064.25
INV-00238,CUST-0126,1761.75,2025-05-25,2025-06-24,paid,1761.75
INV-00239,CUST-0126,7376.75,2025-10-13,2025-11-12,paid,7376.75
INV-00240,CUST-0013,547.88,2024-12-20,2025-01-19,partial,248.12
INV-00241,CUST-0124,4158.91,2025-02-12,2025-03-14,paid,4158.91
INV-00242,CUST-0074,22577.56,2026-01-07,2026-02-21,open,0.0
INV-00243,CUST-0046,7385.37,2025-11-22,2025-12-22,paid,7385.37
INV-00244,CUST-0102,18056.81,2025-12-06,2026-01-20,open,0.0
INV-00245,CUST-0063,42585.73,2025-01-24,2025-03-25,paid,42585.73
INV-00246,CUST-0097,21660.18,2025-04-08,2025-05-23,paid,21660.18
INV-00247,CUST-0112,6382.82,2025-02-19,2025-03-21,paid,6382.82
INV-00248,CUST-0055,5692.16,2024-10-28,2024-11-27,paid,5692.16
INV-00249,CUST-0072,76350.99,2025-04-12,2025-06-11,paid,76350.99
INV-00250,CUST-0102,15474.69,2025-12-07,2026-01-21,open,0.0
INV-00251,CUST-0100,7223.94,2025-02-03,2025-03-05,paid,7223.94
INV-00252,CUST-0089,1232.64,2025-12-19,2026-01-18,open,0.0
INV-00253,CUST-0088,6267.54,2025-03-12,2025-04-11,paid,6267.54
INV-00254,CUST-0116,42813.84,2025-05-09,2025-07-08,paid,42813.84
INV-00255,CUST-0150,3350.55,2025-02-11,2025-03-13,paid,3350.55
INV-00256,CUST-0098,6379.18,2025-01-16,2025-02-15,paid,6379.18
INV-00257,CUST-0024,38003.61,2026-01-13,2026-02-27,open,0.0
INV-00258,CUST-0048,3866.33,2025-06-09,2025-07-09,paid,3866.33
INV-00259,CUST-0091,1197.98,2025-04-07,2025-05-07,paid,1197.98
INV-00260,CUST-0022,36539.76,2025-01-09,2025-02-23,paid,36539.76
INV-00261,CUST-0044,2516.89,2025-11-05,2025-12-05,paid,2516.89
INV-00262,CUST-0020,2387.75,2025-07-15,2025-08-14,paid,2387.75
INV-00263,CUST-0051,1302.29,2025-05-26,2025-06-25,paid,1302.29
INV-00264,CUST-0085,3010.52,2025-06-04,2025-07-04,paid,3010.52
INV-00265,CUST-0052,15996.41,2025-05-15,2025-06-29,overdue,0.0
INV-00266,CUST-0084,2602.25,2025-07-07,2025-08-06,paid,2602.25
INV-00267,CUST-0052,39904.27,2025-03-18,2025-05-02,overdue,0.0
INV-00268,CUST-0075,5696.26,2024-11-16,2024-12-16,paid,5696.26
INV-00269,CUST-0078,13843.86,2025-09-14,2025-10-29,paid,13843.86
INV-00270,CUST-0150,4507.76,2025-06-24,2025-07-24,paid,4507.76
INV-00271,CUST-0093,7216.26,2025-01-21,2025-02-20,paid,7216.26
INV-00272,CUST-0091,5352.5,2025-10-22,2025-11-21,overdue,0.0
INV-00273,CUST-0085,3728.42,2024-12-04,2025-01-03,paid,3728.42
INV-00274,CUST-0148,64577.86,2025-09-24,2025-11-23,overdue,0.0
INV-00275,CUST-0039,119770.27,2025-07-23,2025-09-21,paid,119770.27
INV-00276,CUST-0037,15916.16,2025-07-21,2025-09-04,paid,15916.16
INV-00277,CUST-0122,3786.24,2025-11-27,2025-12-27,paid,3786.24
INV-00278,CUST-0088,1320.22,2025-02-18,2025-03-20,paid,1320.22
INV-00279,CUST-0041,4698.87,2025-07-30,2025-08-29,paid,4698.87
INV-00280,CUST-0111,718.94,2025-06-27,2025-07-27,paid,718.94
INV-00281,CUST-0100,5785.52,2026-01-13,2026-02-12,open,0.0
INV-00282,CUST-0148,99950.24,2025-11-24,2026-01-23,open,0.0
INV-00283,CUST-0084,3931.63,2025-10-07,2025-11-06,paid,3931.63
INV-00284,CUST-0101,1356.74,2025-03-21,2025-04-20,paid,1356.74
INV-00285,CUST-0077,4926.26,2025-03-07,2025-04-06,paid,4926.26
INV-00286,CUST-0037,18596.21,2025-04-29,2025-06-13,paid,18596.21
INV-00287,CUST-0125,23808.27,2025-02-24,2025-04-10,paid,23808.27
INV-00288,CUST-0048,6814.89,2025-08-07,2025-09-06,paid,6814.89
INV-00289,CUST-0125,11829.5,2025-11-07,2025-12-22,overdue,0.0
INV-00290,CUST-0107,34396.21,2025-01-17,2025-03-03,paid,34396.21
INV-00291,CUST-0057,6144.33,2025-08-19,2025-10-03,paid,6144.33
INV-00292,CUST-0127,4331.04,2025-04-09,2025-05-09,paid,4331.04
INV-00293,CUST-0094,33791.38,2025-04-13,2025-05-28,paid,33791.38
INV-00294,CUST-0064,7061.07,2025-08-16,2025-09-15,paid,7061.07
INV-00295,CUST-0023,6989.68,2025-06-05,2025-07-05,paid,6989.68
INV-00296,CUST-0110,5121.13,2025-10-23,2025-11-22,paid,5121.13
INV-00297,CUST-0146,4492.11,2025-07-20,2025-08-19,paid,4492.11
INV-00298,CUST-0132,101518.09,2025-02-02,2025-04-03,overdue,0.0
INV-00299,CUST-0033,6995.59,2025-01-21,2025-02-20,paid,6995.59
INV-00300,CUST-0069,3606.69,2025-02-28,2025-03-30,paid,3606.69
INV-00301,CUST-0024,23046.47,2025-06-23,2025-08-07,overdue,0.0
INV-00302,CUST-0024,39025.26,2025-01-06,2025-02-20,paid,39025.26
INV-00303,CUST-0056,6686.36,2025-06-10,2025-07-10,overdue,0.0
INV-00304,CUST-0088,6216.91,2025-01-31,2025-03-02,paid,6216.91
INV-00305,CUST-0041,3923.89,2025-06-04,2025-07-04,paid,3923.89
INV-00306,CUST-0071,85458.8,2025-11-29,2026-01-28,open,0.0
INV-00307,CUST-0043,18871.95,2025-12-20,2026-02-03,open,0.0
INV-00308,CUST-0024,8331.43,2025-01-20,2025-03-06,paid,8331.43
INV-00309,CUST-0133,3838.0,2025-02-01,2025-03-03,paid,3838.0
INV-00310,CUST-0099,5980.73,2025-12-01,2025-12-31,paid,5980.73
INV-00311,CUST-0036,6300.95,2025-07-04,2025-08-03,paid,6300.95
INV-00312,CUST-0003,27750.71,2025-03-09,2025-04-23,paid,27750.71
INV-00313,CUST-0039,81607.6,2025-06-19,2025-08-18,paid,81607.6
INV-00314,CUST-0099,7724.37,2025-07-20,2025-08-19,paid,7724.37
INV-00315,CUST-0022,24368.88,2025-09-10,2025-10-25,paid,24368.88
INV-00316,CUST-0078,23121.22,2025-10-02,2025-11-16,paid,23121.22
INV-00317,CUST-0014,7234.34,2024-12-10,2025-01-09,paid,7234.34
INV-00318,CUST-0136,7901.62,2026-01-09,2026-02-08,open,0.0
INV-00319,CUST-0100,6792.3,2024-11-01,2024-12-01,paid,6792.3
INV-00320,CUST-0019,78736.35,2026-01-07,2026-03-08,disputed,0.0
INV-00321,CUST-0056,7419.34,2025-12-26,2026-01-25,open,0.0
INV-00322,CUST-0129,19540.12,2024-12-19,2025-02-02,paid,19540.12
INV-00323,CUST-0040,1126.98,2025-08-26,2025-09-25,paid,1126.98
INV-00324,CUST-0017,29453.66,2025-08-10,2025-09-24,paid,29453.66
INV-00325,CUST-0023,1369.9,2025-06-07,2025-07-07,paid,1369.9
INV-00326,CUST-0004,1529.09,2025-01-18,2025-02-17,paid,1529.09
INV-00327,CUST-0133,6668.8,2024-12-11,2025-01-10,overdue,0.0
INV-00328,CUST-0008,33248.77,2025-07-28,2025-09-11,paid,33248.77
INV-00329,CUST-0148,27707.0,2025-02-28,2025-04-29,paid,27707.0
INV-00330,CUST-0147,92277.84,2025-02-04,2025-04-05,paid,92277.84
INV-00331,CUST-0004,844.86,2025-09-12,2025-10-12,paid,844.86
INV-00332,CUST-0108,16263.07,2025-09-23,2025-11-07,paid,16263.07
INV-00333,CUST-0020,3296.06,2025-03-29,2025-04-28,partial,1425.7
INV-00334,CUST-0080,8023.49,2025-08-01,2025-09-15,paid,8023.49
INV-00335,CUST-0078,26795.11,2025-01-02,2025-02-16,paid,26795.11
INV-00336,CUST-0140,32859.07,2024-12-22,2025-02-05,paid,32859.07
INV-00337,CUST-0003,5051.17,2025-07-28,2025-09-11,paid,5051.17
INV-00338,CUST-0061,4190.22,2025-06-15,2025-07-15,paid,4190.22
INV-00339,CUST-0060,4398.19,2024-11-09,2024-12-09,paid,4398.19
INV-00340,CUST-0035,6649.72,2025-02-23,2025-03-25,paid,6649.72
INV-00341,CUST-0034,15208.66,2025-09-16,2025-10-31,overdue,0.0
INV-00342,CUST-0070,1060.16,2025-09-18,2025-10-18,paid,1060.16
INV-00343,CUST-0040,1732.81,2025-11-22,2025-12-22,overdue,0.0
INV-00344,CUST-0119,6893.62,2025-09-02,2025-10-02,paid,6893.62
INV-00345,CUST-0011,6769.44,2025-09-27,2025-10-27,paid,6769.44
INV-00346,CUST-0077,6650.67,2025-09-04,2025-10-04,overdue,0.0
INV-00347,CUST-0141,8315.38,2025-09-10,2025-10-25,paid,8315.38
INV-00348,CUST-0057,11934.66,2025-11-10,2025-12-25,paid,11934.66
INV-00349,CUST-0022,25514.16,2025-03-23,2025-05-07,paid,25514.16
INV-00350,CUST-0033,7288.08,2025-11-29,2025-12-29,paid,7288.08
